,USA,MEX,BRA,CHL,COL,PER,ITA,CZE,NOR,CHE,CHN,KOR,IND,IDN,THA,MYS,PHL,AUS,ZAF,EGY,ISR,KEN
KOR,0.7401643365289681,0.8377687093072318,2.001268341100182,0.9891804678166634,1.2293687020645374,1.4516431789773205,1.1823152505169618,1.2277942505318253,1.3234008502238708,0.4503750068298208,0.7826688090746623,0.0,1.1352446681314396,0.5846289778288152,0.6404569720940576,0.643882641253149,0.9278780707598147,0.5086032034865403,2.1396430599724754,2.2096620793353696,0.6308069683821701,0.941270091740685
IND,1.2120288608006429,0.9649418563174684,1.89182656978886,1.0198393756230308,1.0572166017913627,1.382564939350733,1.3269074924834852,1.529826892363875,1.7359313825121334,1.3839292503817127,1.0525186261736026,1.1352446681314396,0.0,0.7713264580684709,1.1885813320437912,0.9757660939202548,0.8907922906744904,1.2781432317798034,2.0995205754095507,1.9142554454405685,1.034551845581482,0.8641770948612476
IDN,0.916199101500993,0.7939248986866361,1.7735561211245174,1.0288968571496029,1.1772503957089875,1.4392979851219072,1.3384425707586665,1.376681662573673,1.3039117856270994,0.8733923975968614,0.7376472526876588,0.5846289778288152,0.7713264580684709,0.0,0.8352211824408625,0.6592719639982382,0.8266671967773773,0.7684980118565075,2.1028634445842322,2.083520623033176,0.8064488377503618,0.7948647411607099
THA,1.0509912258378822,0.8466975841510301,2.1108487088605106,0.9599651196267192,1.2723284397630126,1.2881581380484113,1.2267900502832745,1.3067120622460058,1.5126881834191086,0.7786821180524464,0.9838672655017838,0.6404569720940576,1.1885813320437912,0.8352211824408625,0.0,0.53291208579333,0.7441307280467636,1.0037882249132524,2.3540445788470765,2.3808681905363875,0.8672325038271623,1.2394616795646394
MYS,1.0173139181234139,0.8189626234696222,1.971738635648812,0.8326031905501058,1.0866820653365667,1.236750604004977,1.188436610678301,1.4256083175614656,1.43829185127797,0.8011031542856815,0.7289032452939758,0.643882641253149,0.9757660939202548,0.6592719639982382,0.53291208579333,0.0,0.5818395394953385,1.0068332120550447,2.1739556117714933,2.3675514524496424,0.7294219988757034,1.141094921619005
PHL,1.1389919008225862,0.6380304452387563,1.9705334359129063,0.9041825732694216,1.0510315131668648,1.2278848144534729,1.2497348656752336,1.4424807174159338,1.7370884183365565,1.0688914531447558,1.0315107971712743,0.9278780707598147,0.8907922906744904,0.8266671967773773,0.7441307280467636,0.5818395394953385,0.0,1.1926152001430037,2.23751053988915,2.309403388995009,0.973531723896569,1.186824388193559
AUS,0.5675216458827005,0.969261874858156,1.9218090160367958,1.1838371056093542,1.2929035629919323,1.643803801895352,1.09963032666667,1.0335023259315312,1.2097312795853536,0.5085819192708653,1.169368958002337,0.5086032034865403,1.2781432317798034,0.7684980118565075,1.0037882249132524,1.0068332120550447,1.1926152001430037,0.0,2.058138600974877,2.0351570184305205,0.7403082018385703,0.9554357501992042
ZAF,1.9982657262497288,2.0359284202253423,2.1769504527763384,1.8447484043996047,1.6282480561785773,2.3366032031455988,1.8617250744112568,2.3094938269378695,2.4336010807503126,2.1385860647010575,2.313524084330798,2.1396430599724754,2.0995205754095507,2.1028634445842322,2.3540445788470765,2.1739556117714933,2.23751053988915,2.058138600974877,0.0,2.568004850271006,2.13124330390939,2.049586556723327
EGY,1.8840961276349366,2.0453260808714773,2.5311667642501914,1.9445529220679638,1.8621533489826858,2.5289717999589856,2.1277237773074256,1.7105305797935813,2.2037421170249014,2.352472876784858,2.379971374280878,2.2096620793353696,1.9142554454405685,2.083520623033176,2.3808681905363875,2.3675514524496424,2.309403388995009,2.0351570184305205,2.568004850271006,0.0,2.136731808488995,1.824987291116313
ISR,0.5428079176436886,0.9790552406645041,2.0543820175716565,0.9527631883188121,1.0988874743540147,1.3783447392971768,0.889618667946615,1.0523664094923753,1.4269767242207518,0.6901694659482445,0.9471976559459175,0.6308069683821701,1.034551845581482,0.8064488377503618,0.8672325038271623,0.7294219988757034,0.973531723896569,0.7403082018385703,2.13124330390939,2.136731808488995,0.0,1.1160446634220822
KEN,1.1361840533393053,1.1063763271095763,1.6062872501355674,1.0961787602525264,1.1054582305201095,1.4428307337021733,1.4310053739522661,1.4282981749262722,1.6163108482623998,1.241460307461054,1.1097980120111441,0.941270091740685,0.8641770948612476,0.7948647411607099,1.2394616795646394,1.141094921619005,1.186824388193559,0.9554357501992042,2.049586556723327,1.824987291116313,1.1160446634220822,0.0
