k,silhouette,inertia,cluster_sizes
2,0.1726210125132084,610.0319621876539,"11, 11"
3,0.14914998503907048,540.5040547928514,"10, 7, 5"
4,0.14677969297281115,479.37922577606423,"10, 6, 3, 3"
5,0.1397025090691759,428.8828182374949,"7, 7, 4, 2, 2"
6,0.16237814187267563,380.39081628243105,"9, 6, 2, 2, 2, 1"
