,USA,MEX,BRA,CHL,COL,PER,ITA,CZE,NOR,CHE,CHN,KOR,IND,IDN,THA,MYS,PHL,AUS,ZAF,EGY,ISR,KEN
CHN,1.3282914582463712,1.3095819309079795,1.3527897401432485,1.1886362477585137,1.1832498015075206,1.1611737069547645,1.4471106568358887,1.49925125052779,1.3830401044924021,1.3657388510581714,0.0,1.2642110095227839,1.1682670312805647,1.1783789079579945,1.1185574825186884,1.0937982294794466,1.2717042970756622,1.40747589591358,1.1956924524615933,1.6010308769645993,1.3816950955774576,1.085483766318599
KOR,1.14018825200752,1.1061526451179324,1.034602344822192,0.9750259960217036,1.0644043064371584,0.9164714182501157,1.0097787087517553,1.195311992465948,1.0027153242442917,0.9672088367509505,1.2642110095227839,0.0,1.1397613986002948,1.2721149264597345,1.1300715261440124,1.0532289062846691,1.296167645527333,1.0740761978342943,1.0655988931766396,1.416142934076184,1.1255027037049534,1.0858392081921886
IND,1.0201150297983892,1.1393779076334725,1.2478655380634334,1.3762993135315298,1.2528675061124506,1.2679237020764675,1.066190803228879,1.223457099274367,1.2538900609459764,1.0210699491075395,1.1682670312805647,1.1397613986002948,0.0,0.8137305098166672,1.164702804541483,1.2435057466343715,1.1130039505740936,1.037375662654741,1.3405674597793613,1.308694147696975,1.0319698935076105,1.3992885215447943
IDN,1.0822882708768602,1.1299829139599642,1.2844485498130447,1.2760003486814508,1.164214677248251,1.2705005779476788,1.2948529657193497,1.2132370986422218,1.2734572380784588,1.1345082403801159,1.1783789079579945,1.2721149264597345,0.8137305098166672,0.0,1.1232875544916803,1.057046256534635,1.1175183009583767,1.1579128898357256,1.289329835565783,1.3302867726899223,1.038689485927106,1.382856128878729
THA,1.2558413758706621,1.3226484971233952,1.26109792582747,1.1008925054032488,0.9581296806880559,1.0405980532585946,1.3187280976091555,1.409139497350691,1.0709374129449725,1.0944813856043867,1.1185574825186884,1.1300715261440124,1.164702804541483,1.1232875544916803,0.0,0.8314724558820631,1.2317284240553894,1.2243685184977828,1.0574853267578044,1.4231232468795045,1.2527684332022606,1.0584955336787576
MYS,1.1918902238388542,1.1221730420103957,1.0611065431847702,0.9718317860426559,0.7904130941277882,0.8851450549272217,1.3228816873317633,1.3979333001128311,0.9655624392174174,1.1191855064675076,1.0937982294794466,1.0532289062846691,1.2435057466343715,1.057046256534635,0.8314724558820631,0.0,1.2266530693994881,1.1920762430462526,0.7642569165614628,1.440680626639487,1.309542103025299,0.9667950428578318
PHL,1.0049062074166695,0.7632291979815032,1.4892134668704955,1.280440661307246,1.2252369940839443,1.3493749312424637,1.2244247906510146,1.0886377134894187,1.2697835342502095,1.0788927270841584,1.2717042970756622,1.296167645527333,1.1130039505740936,1.1175183009583767,1.2317284240553894,1.2266530693994881,0.0,1.1183292235899993,1.3318295844395327,1.14889068303498,1.0889957337652756,1.4042097001318177
AUS,0.9885237878803156,1.0997333728579164,1.262710237797238,1.2282498542101976,1.0903896330904541,1.0202629699289794,0.7845525946472197,0.9805003812313706,1.0004980468151445,0.8604989616021955,1.40747589591358,1.0740761978342943,1.037375662654741,1.1579128898357256,1.2243685184977828,1.1920762430462526,1.1183292235899993,0.0,1.3387611501765937,1.1306515991683623,1.0246294836114487,1.2403491726965488
ZAF,1.2404370499813966,1.174720897793858,0.9170655695973424,0.9832196166200157,0.8439824501003905,0.8454842594782166,1.308295903200188,1.3861623786802517,1.018900954803667,1.2344288940683872,1.1956924524615933,1.0655988931766396,1.3405674597793613,1.289329835565783,1.0574853267578044,0.7642569165614628,1.3318295844395327,1.3387611501765937,0.0,1.615185958144466,1.3383769991288559,0.9762032221850827
EGY,1.2657815926921363,1.2841987022980397,1.597541619333624,1.561717656609345,1.4591163980270645,1.5131893149279896,1.1095718334337652,1.1324571101312015,1.346112796460449,1.176601828651888,1.6010308769645993,1.416142934076184,1.308694147696975,1.3302867726899223,1.4231232468795045,1.440680626639487,1.14889068303498,1.1306515991683623,1.615185958144466,0.0,1.2393399196388524,1.4822624197009175
ISR,0.6511805642604773,1.06960665629221,1.3783526981990835,1.2031273732346133,1.122278711093518,1.080246997254448,0.828494846389233,0.6898541009842868,1.222731287569864,0.8243281899566085,1.3816950955774576,1.1255027037049534,1.0319698935076105,1.038689485927106,1.2527684332022606,1.309542103025299,1.0889957337652756,1.0246294836114487,1.3383769991288559,1.2393399196388524,0.0,1.2756713297609161
KEN,1.2559944796649904,1.3635790253041333,1.1532322381253435,1.1095253298683072,1.0549395117491023,0.9462347948814812,1.2354749651347476,1.356575430499722,1.2746527731407549,1.2839788683516824,1.085483766318599,1.0858392081921886,1.3992885215447943,1.382856128878729,1.0584955336787576,0.9667950428578318,1.4042097001318177,1.2403491726965488,0.9762032221850827,1.4822624197009175,1.2756713297609161,0.0
