cluster,n_countries,typical_regions,countries,gdp_growth_mean,gdp_growth_min,gdp_growth_max,unemployment_mean,unemployment_min,unemployment_max,inflation_mean,inflation_min,inflation_max,real_interest_mean,real_interest_min,real_interest_max,cluster_name,representative
1,11,"Европа, Азия, Северная Америка","Австралия, Египет, Израиль, Индия, Индонезия, Италия, Мексика, США, Филиппины, Чехия, Швейцария",3.21968382050303,-9.51829474045297,9.68959249192875,5.818045454545455,2.015,13.154,4.023758021689127,-1.14390867228178,33.8847763115546,2.5631855317596552,-8.75819408094445,9.98592671987596,Кластер 1: умеренные ставки и ниже безработица,США
2,11,"Латинская Америка, Азия, Африка","Бразилия, Кения, Китай, Колумбия, Малайзия, Норвегия, Перу, Республика Корея, Таиланд, Чили, ЮАР",3.309127521905272,-10.9333065010382,13.3626240903125,7.231272727272727,0.249,34.007,3.728547021176137,-1.61068030486688,14.0224913014704,6.558782635556802,-19.6029294934185,41.7138078837267,Кластер 2: высокие реальные ставки и напряженный рынок труда,Перу
