,USA,MEX,BRA,CHL,COL,PER,ITA,CZE,NOR,CHE,CHN,KOR,IND,IDN,THA,MYS,PHL,AUS,ZAF,EGY,ISR,KEN
CHN,0.8821790990251355,0.8575024168803357,0.9150200405184189,0.706428064742719,0.7000400463837935,0.6741621888615346,1.0470646265639987,1.1238771561045708,0.9563999653171771,0.9326213046448469,0.0,0.799114738299308,0.682423928188552,0.6942884253601379,0.6255854208492729,0.598197283406186,0.808615909600352,0.9904941987888676,0.71484022043681,1.2816499344970174,0.9545406685714001,0.589137503470605
KOR,0.6500146250079819,0.6117868371506991,0.5352010059557888,0.47533784645905774,0.5664782637809842,0.41995993023468914,0.5098265203241807,0.7143853796664572,0.5027190107371674,0.46774646694456334,0.799114738299308,0.0,0.6495280228696498,0.8091381930608278,0.6385308271007286,0.5546455645168,0.840025282655935,0.576819839377087,0.5677505005696397,1.0027304048669514,0.6333781680235802,0.5895233930237198
IND,0.5203173370102843,0.6490910082016148,0.7785842005431709,0.9470999002136801,0.7848384939362157,0.8038152571436475,0.5683814144449209,0.7484236368824242,0.7861201424695522,0.5212919204852366,0.682423928188552,0.6495280228696498,0.0,0.3310786713032464,0.6782663114533979,0.7731532709563529,0.6193888969967696,0.5380741327341814,0.8985605571096447,0.8563401861081558,0.5324809305530545,0.9790041832635082
IDN,0.5856739506388118,0.6384306929207257,0.8249040385584165,0.814088444917592,0.6776979073601246,0.8070858592826929,0.8383221014160979,0.7359721287608979,0.8108466686072082,0.6435544737451935,0.6942884253601379,0.8091381930608278,0.3310786713032464,0.0,0.6308874650379499,0.5586733942269424,0.6244235764884483,0.6703811302238607,0.8311857124400446,0.8848314487968846,0.5394379240877578,0.956145536588732
THA,0.7885687806743588,0.8746995234713878,0.7951839892631734,0.6059821542265211,0.45900624250769806,0.5414221542227885,0.8695218977119312,0.9928370614968792,0.5734534712226353,0.598944751717249,0.6255854208492729,0.6385308271007286,0.6782663114533979,0.6308874650379499,0.0,0.34567322244527465,0.7585774553129865,0.7495391345442277,0.5591376081540302,1.0126398879044316,0.7847143736140235,0.5602063974089391
MYS,0.7103011528413171,0.6296361681074325,0.562973547994766,0.4722285101814292,0.3123764296843321,0.3917408841310569,0.8750079793388663,0.9771087557821755,0.46615541201374444,0.6262880989434658,0.598197283406186,0.5546455645168,0.7731532709563529,0.5586733942269424,0.34567322244527465,0.0,0.7523388763335925,0.710522884617634,0.2920443172560173,1.0377803339871725,0.8574502597979614,0.46734632744723836
PHL,0.5049182428522769,0.29125940432574404,1.1088783749542201,0.8197641435644687,0.7506028458359296,0.9104063525328017,0.7496080339803906,0.5925660356157347,0.8061751119264764,0.582004758277546,0.8086159096003521,0.840025282655935,0.6193888969967696,0.6244235764884483,0.7585774553129865,0.7523388763335925,0.0,0.625330126167705,0.8868850209941893,0.6599749007822913,0.5929558540794855,0.9859024409721446
AUS,0.4885896396026237,0.6047067456887245,0.7972185723189786,0.7542988521836858,0.5944747759755677,0.5204682639041509,0.30776138688384247,0.4806904987974313,0.5004981708404599,0.37022923145922826,0.9904941987888676,0.576819839377087,0.5380741327341814,0.6703811302238607,0.7495391345442277,0.710522884617634,0.625330126167705,0.0,0.896140708611078,0.6391865193509875,0.5249327893429319,0.7692330351045066
ZAF,0.7693420374832749,0.6899845938568039,0.42050462947044887,0.48336040725320517,0.3561531880387291,0.3574218165127141,0.8558190851651978,0.9607230700342468,0.5190795778499121,0.7619073472554508,0.71484022043681,0.5677505005696397,0.8985605571096447,0.8311857124400446,0.5591376081540302,0.2920443172560173,0.8868850209941893,0.896140708611078,0.0,1.3044128396935282,0.8956264958985808,0.47648636550226886
EGY,0.8011015201991205,0.8245831534919843,1.2760696127515487,1.219481019482692,1.0645103314957378,1.1448709514061193,0.6155748267747835,0.6412295531433562,0.9060098303972851,0.6921959315934835,1.2816499344970174,1.0027304048669514,0.8563401861081558,0.8848314487968846,1.0126398879044316,1.0377803339871725,0.6599749007822913,0.6391865193509875,1.3044128396935282,0.0,0.7679817182052187,1.0985509404288094
ISR,0.21201806363529685,0.5720291995923007,0.9499280803163468,0.7237577381132103,0.6297547526868639,0.5834667875386257,0.3432018552467593,0.2379493403224192,0.7475359008011286,0.3397584823785692,0.9545406685714001,0.6333781680235802,0.5324809305530545,0.5394379240877578,0.7847143736140235,0.8574502597979614,0.5929558540794855,0.5249327893429319,0.8956264958985808,0.7679817182052187,0.0,0.813668670786992
KEN,0.7887610664744648,0.9296738791246849,0.6649722975257941,0.6155232288096879,0.5564486867247171,0.4476801435221993,0.763199194737353,0.9201484493177531,0.8123698460377082,0.8243008671868335,0.589137503470605,0.5895233930237198,0.9790041832635082,0.956145536588732,0.5602063974089391,0.46734632744723836,0.9859024409721446,0.7692330351045066,0.47648636550226886,1.0985509404288094,0.813668670786992,0.0
