iso3,country,region,year,gdp_growth,unemployment,inflation,real_interest
USA,США,Северная Америка,2010,2.69519257744442,9.633,1.6400434423899,2.01031249832462
USA,США,Северная Америка,2011,1.56440685763506,8.949,3.156841568622,1.16287972647355
USA,США,Северная Америка,2012,2.28911338669843,8.069,2.06933726526067,1.362424650544
USA,США,Северная Америка,2013,2.11783009790057,7.375,1.46483265562717,1.7482101512619
USA,США,Северная Америка,2014,2.52381981363968,6.168,1.62222297740817,1.58866664005878
USA,США,Северная Америка,2015,2.94555045484053,5.28,0.118627135552451,2.4751634842667
USA,США,Северная Америка,2016,1.81945147788167,4.869,1.26158320570536,2.63773113762977
USA,США,Северная Америка,2017,2.45762229852507,4.355,2.13011000365961,2.37161907294657
USA,США,Северная Америка,2018,2.96650506901305,3.896,2.44258329692817,2.46243186978415
USA,США,Северная Америка,2019,2.58382533412825,3.669,1.81221007526021,3.71968036171318
USA,США,Северная Америка,2020,-2.16302914036166,8.055,1.23358439630629,2.84614797883625
USA,США,Северная Америка,2021,6.05505293244555,5.349,4.69785886363742,-1.08716753956254
USA,США,Северная Америка,2022,2.51237531986017,3.65,8.00279982052121,-1.08716753956254
USA,США,Северная Америка,2023,2.88755600749487,3.638,4.11633838374488,-1.08716753956254
MEX,Мексика,Латинская Америка,2010,4.9713345832195,5.303,4.15672722680174,0.869831510540792
MEX,Мексика,Латинская Америка,2011,3.44404505794418,5.175,3.40737824605742,-0.718087414556666
MEX,Мексика,Латинская Америка,2012,3.55321075993527,4.892,4.11150981070289,0.132595617614182
MEX,Мексика,Латинская Америка,2013,0.852101559410627,4.921,3.80639069747204,2.52394547437684
MEX,Мексика,Латинская Америка,2014,2.50376350288664,4.819,4.01861608078679,-0.782518932664159
MEX,Мексика,Латинская Америка,2015,2.70232342550646,4.311,2.72064064964023,0.207059192646057
MEX,Мексика,Латинская Америка,2016,1.77249323845399,3.853,2.8217078474766,-1.24759733279354
MEX,Мексика,Латинская Америка,2017,1.87172853327193,3.419,6.04145724018986,0.717765161995541
MEX,Мексика,Латинская Америка,2018,1.97208209405635,3.275,4.89935015356551,2.69522693587484
MEX,Мексика,Латинская Америка,2019,-0.392690505066824,3.477,3.63596142127046,3.93998795588135
MEX,Мексика,Латинская Америка,2020,-8.35403458167995,4.44,3.39683415570006,1.64584208356016
MEX,Мексика,Латинская Америка,2021,6.0484834621255,4.019,5.68920847683753,0.386354456627096
MEX,Мексика,Латинская Америка,2022,3.70975709163623,3.256,7.8962761916855,1.41798509602471
MEX,Мексика,Латинская Америка,2023,3.35354140652768,2.765,5.52796087314389,6.62929489524062
BRA,Бразилия,Латинская Америка,2010,7.52822581812151,8.42,5.03872690108074,29.1158055183637
BRA,Бразилия,Латинская Америка,2011,3.97442307944702,7.578,6.6364496221309,32.8334595056712
BRA,Бразилия,Латинская Америка,2012,1.92117598509462,7.251,5.40349914036997,26.5820905353339
BRA,Бразилия,Латинская Америка,2013,3.0048226702888,7.071,6.204310666401,18.498844416907
BRA,Бразилия,Латинская Америка,2014,0.503955740273241,6.755,6.32904015516138,22.4036724327293
BRA,Бразилия,Латинская Америка,2015,-3.54576339347278,8.538,9.02990102416136,33.8323439713292
BRA,Бразилия,Латинская Америка,2016,-3.2759169063211,11.58,8.73914352329393,40.6983614299632
BRA,Бразилия,Латинская Америка,2017,1.32286905390815,12.792,3.44637335032669,41.7138078837267
BRA,Бразилия,Латинская Америка,2018,1.78366676137003,12.329,3.66485028376728,33.1023342525489
BRA,Бразилия,Латинская Америка,2019,1.22077782271943,11.936,3.73297621216893,31.9030727574424
BRA,Бразилия,Латинская Америка,2020,-3.27675879612903,13.697,3.21176803803376,21.197179669345
BRA,Бразилия,Латинская Америка,2021,4.7626043797061,13.158,8.30165975585673,15.0108849846561
BRA,Бразилия,Латинская Америка,2022,3.01669435408112,9.231,9.28010608956872,28.3960928180404
BRA,Бразилия,Латинская Америка,2023,3.24165532813583,7.947,4.59356282283203,36.554470620355
CHL,Чили,Латинская Америка,2010,5.85165102224047,8.547,1.4107110795432,-3.76879580128202
CHL,Чили,Латинская Америка,2011,6.22389678509138,7.492,3.34121694259302,5.58745776542778
CHL,Чили,Латинская Америка,2012,6.15534001855494,6.79,3.00744840213047,9.22337834222408
CHL,Чили,Латинская Америка,2013,3.30850824710085,6.361,1.7895555398459,6.84632643680272
CHL,Чили,Латинская Америка,2014,1.79264947139259,6.761,4.71867527854671,2.1210253100164
CHL,Чили,Латинская Америка,2015,2.15194249981184,6.605,4.34877353217044,0.534100501734634
CHL,Чили,Латинская Америка,2016,1.753038749071,6.926,3.78619355893118,0.982913248021622
CHL,Чили,Латинская Америка,2017,1.35769537343957,7.257,2.18271846868519,-0.262655305184403
CHL,Чили,Латинская Америка,2018,3.99002947789977,7.623,2.43488981353057,2.54731216179178
CHL,Чили,Латинская Америка,2019,0.634367533828438,7.493,2.55754475703326,2.54731216179178
CHL,Чили,Латинская Америка,2020,-6.14347479224092,10.934,3.04549084804326,2.54731216179178
CHL,Чили,Латинская Америка,2021,11.3149204879049,9.281,4.52456838259143,2.54731216179178
CHL,Чили,Латинская Америка,2022,2.15399356192458,8.249,11.6438667110559,2.54731216179178
CHL,Чили,Латинская Америка,2023,0.521367977246825,9.013,7.58168251407962,2.54731216179178
COL,Колумбия,Латинская Америка,2010,4.49465897070922,11.153,2.27200227892008,5.3722240266131
COL,Колумбия,Латинская Америка,2011,6.94789198173555,10.288,3.4150334477625,4.54296484242238
COL,Колумбия,Латинская Америка,2012,3.91263576716115,9.959,3.16930188840055,8.65535095377731
COL,Колумбия,Латинская Америка,2013,5.13399351995672,9.246,2.01699224310383,8.90797441037777
COL,Колумбия,Латинская Америка,2014,4.49903000110972,8.799,2.89883787761737,8.44294935194344
COL,Колумбия,Латинская Америка,2015,2.95590137527523,8.572,4.98983115849529,8.78547373201402
COL,Колумбия,Латинская Америка,2016,2.08738250162794,8.922,7.51346024627674,9.03209505722643
COL,Колумбия,Латинская Америка,2017,1.35936086788746,9.086,4.3143132569501,8.13449112757921
COL,Колумбия,Латинская Америка,2018,2.56432428277704,9.36,3.24056932930569,7.15306948982847
COL,Колумбия,Латинская Америка,2019,3.18685539245533,10.28,3.52301932741446,7.46754725861924
COL,Колумбия,Латинская Америка,2020,-7.18591413760859,15.983,2.52663500084706,8.24660761552955
COL,Колумбия,Латинская Америка,2021,10.8011981904878,13.898,3.49505757399448,1.42458739401644
COL,Колумбия,Латинская Америка,2022,7.32827729427979,10.541,10.1772313546166,0.767867660015928
COL,Колумбия,Латинская Америка,2023,0.712380031974334,9.591,11.7359044948689,13.1631262778233
PER,Перу,Латинская Америка,2010,8.33245910749577,3.6,1.52832059732901,12.5494733748355
PER,Перу,Латинская Америка,2011,6.32719240161117,3.477,3.36931095333853,11.1780878633624
PER,Перу,Латинская Америка,2012,6.13972470560435,3.238,3.61121294940163,17.8200224863401
PER,Перу,Латинская Америка,2013,5.85251821084928,3.575,2.76789666082002,16.903308069059
PER,Перу,Латинская Америка,2014,2.38215737180541,3.208,3.41194579807465,12.994785090205
PER,Перу,Латинская Америка,2015,3.25224477218451,3.272,3.39809194746308,13.0638220152775
PER,Перу,Латинская Америка,2016,3.95331871520767,3.741,3.55717663556279,12.9852567811511
PER,Перу,Латинская Америка,2017,2.51883544233135,3.691,2.99490045809443,12.7122035671679
PER,Перу,Латинская Америка,2018,3.969351341365,3.492,1.50915423024742,11.9886777000573
PER,Перу,Латинская Америка,2019,2.24063176875049,3.379,2.25212191358027,12.2832644568721
PER,Перу,Латинская Америка,2020,-10.9333065010382,7.179,2.00241205759292,8.888580606911
PER,Перу,Латинская Америка,2021,13.3626240903125,5.097,4.27166381536798,0.832240862309597
PER,Перу,Латинская Америка,2022,2.8090335533015,4.291,8.33370630096231,7.73476381927593
PER,Перу,Латинская Америка,2023,-0.403242151494268,4.899,6.45561348369586,7.73476381927593
ITA,Италия,Европа,2010,1.52910573247101,8.363,1.52551602118248,3.41342018267074
ITA,Италия,Европа,2011,0.695463154440176,8.359,2.78063272879323,2.82160353555801
ITA,Италия,Европа,2012,-3.12523877282996,10.655,3.04136333226775,3.46119744979934
ITA,Италия,Европа,2013,-1.81802510749792,12.149,1.21999342274306,3.97364793630999
ITA,Италия,Европа,2014,-0.0013876173045446,12.683,0.241047429826756,3.92865782875133
ITA,Италия,Европа,2015,0.885667635240807,11.896,0.0387903996579733,3.3204815735536
ITA,Италия,Европа,2016,1.23622108511661,11.688,-0.09401665691575,2.22028189161628
ITA,Италия,Европа,2017,1.60369995294101,11.211,1.22653316645812,2.27486413860821
ITA,Италия,Европа,2018,0.826646712344115,10.538,1.13748763600391,1.5923708555414
ITA,Италия,Европа,2019,0.429162533780342,9.884,0.611246943765304,1.53937572556579
ITA,Италия,Европа,2020,-8.86822122185345,9.192,-0.13770757391651,0.739269290959431
ITA,Италия,Европа,2021,8.93106210800055,9.497,1.87378325762481,0.733185661773553
ITA,Италия,Европа,2022,4.82117669913565,8.069,8.20128991161718,-1.15112854557422
ITA,Италия,Европа,2023,0.975694840127005,7.627,5.62219442195901,-1.22864122337094
CZE,Чехия,Европа,2010,2.71466509907701,7.281,1.47272727272728,6.404026181808
CZE,Чехия,Европа,2011,1.77238085338473,6.712,1.9172191363555,5.95212889532356
CZE,Чехия,Европа,2012,-0.770668190622743,6.979,3.28762306610411,4.00947030915855
CZE,Чехия,Европа,2013,-0.0418124160447491,6.953,1.4382978723404,3.65186851296449
CZE,Чехия,Европа,2014,2.24521219862635,6.108,0.343988589646793,1.88711079614098
CZE,Чехия,Европа,2015,4.95875848915604,5.048,0.309364548494975,3.01082711223738
CZE,Чехия,Европа,2016,2.58087013921376,3.952,0.683504209385702,2.38051334351634
CZE,Чехия,Европа,2017,5.17356529967881,2.893,2.4505339846014,1.87456261929575
CZE,Чехия,Европа,2018,2.83030588267866,2.246,2.14949494949492,0.708328255014696
CZE,Чехия,Европа,2019,3.56577658128261,2.015,2.84787595918041,-0.1495413565176
CZE,Чехия,Европа,2020,-5.30487955463876,2.55,3.1612952849781,-1.12128534113106
CZE,Чехия,Европа,2021,4.02901832055149,2.803,3.83984491500146,-0.800024636625989
CZE,Чехия,Европа,2022,2.8471706583814,2.224,15.100165146837,-4.09132848148826
CZE,Чехия,Европа,2023,0.0475803308973752,2.579,10.6612601372427,-3.60514836252152
NOR,Норвегия,Европа,2010,0.787051861494078,3.527,2.41890639481003,1.75202764781328
NOR,Норвегия,Европа,2011,1.10565603382983,3.196,1.2849515880916,1.75202764781328
NOR,Норвегия,Европа,2012,2.71795924894734,3.129,0.696864111498263,1.75202764781328
NOR,Норвегия,Европа,2013,1.01619084044641,3.425,2.12048620353112,1.75202764781328
NOR,Норвегия,Европа,2014,2.04813200438943,3.486,2.04170286707211,3.94314737872022
NOR,Норвегия,Европа,2015,1.85733971623901,4.296,2.17113665389527,6.4863764717603
NOR,Норвегия,Европа,2016,1.16472423928819,4.68,3.55000000000007,4.74390945028618
NOR,Норвегия,Европа,2017,2.46374626574153,4.164,1.87510059552545,-1.03296139607027
NOR,Норвегия,Европа,2018,0.828931500516902,3.801,2.76483134528797,-3.57596654095455
NOR,Норвегия,Европа,2019,1.12374694968757,3.684,2.16773003305411,3.80513912675513
NOR,Норвегия,Европа,2020,-1.27817177234034,4.424,1.28658490707996,5.34941943034869
NOR,Норвегия,Европа,2021,3.90868676830634,4.359,3.48388055266669,-14.922876785153
NOR,Норвегия,Европа,2022,3.24622860260932,3.231,5.76412317852272,-19.6029294934185
NOR,Норвегия,Европа,2023,0.0721204806030329,3.574,5.51784987104659,18.4261670599042
CHE,Швейцария,Европа,2010,3.24339715656356,4.808,0.688238707219974,2.41305009083123
CHE,Швейцария,Европа,2011,1.81310830459596,4.409,0.2313492076509,2.73934663988563
CHE,Швейцария,Европа,2012,1.17925385250513,4.491,-0.692552018105163,2.62294174433531
CHE,Швейцария,Европа,2013,1.79214400716117,4.747,-0.217323155115672,2.77842211187275
CHE,Швейцария,Европа,2014,2.34988141500179,4.826,-0.0132025387515945,3.36510222766569
CHE,Швейцария,Европа,2015,1.64462750849488,4.801,-1.14390867228178,3.99644735985506
CHE,Швейцария,Европа,2016,2.06868969039562,4.918,-0.434618664285814,3.24890889407591
CHE,Швейцария,Европа,2017,1.36279965488859,4.797,0.533787839825876,3.00636749469891
CHE,Швейцария,Европа,2018,2.86044579439036,4.713,0.936335464113572,1.84900465311309
CHE,Швейцария,Европа,2019,1.14198218965691,4.394,0.362886179940674,2.73966457945977
CHE,Швейцария,Европа,2020,-2.14173712008038,4.817,-0.725874933313402,3.35750970986686
CHE,Швейцария,Европа,2021,5.55962020605844,5.013,0.581814168489855,1.30116110583325
CHE,Швейцария,Европа,2022,3.04406102969423,4.122,2.83502798644451,-0.381723877020374
CHE,Швейцария,Европа,2023,0.683328174376044,4.043,2.13540088016386,1.95038923018577
CHN,Китай,Азия,2010,10.5962719761682,4.53,3.17532475269199,-1.04598657931298
CHN,Китай,Азия,2011,9.4613358870736,4.55,5.55389892257493,-1.34800592549109
CHN,Китай,Азия,2012,7.85617427055587,4.58,2.6195243264554,3.51038465814056
CHN,Китай,Азия,2013,7.77872409446717,4.6,2.62105001748114,3.61884518177429
CHN,Китай,Азия,2014,7.46190028229434,4.63,1.9216416278852,4.46024340812095
CHN,Китай,Азия,2015,6.97878002657477,4.65,1.43702380935654,4.20696426973205
CHN,Китай,Азия,2016,6.77555562837017,4.56,2.00000182191943,2.83073632160298
CHN,Китай,Азия,2017,6.8912663621211,4.47,1.59313600071435,0.19585733630837
CHN,Китай,Азия,2018,6.75671800166833,4.31,2.07479039965576,0.852537111572747
CHN,Китай,Азия,2019,6.06850235053705,4.56,2.89923416358226,2.99509285161556
CHN,Китай,Азия,2020,2.34018843078414,5.0,2.41942189457782,3.79985989492251
CHN,Китай,Азия,2021,8.57008513166322,4.55,0.981015135544881,-0.118557234530241
CHN,Китай,Азия,2022,3.1341888719577,4.98,1.9735755573905,2.36988583421333
CHN,Китай,Азия,2023,5.41484330099675,4.67,0.23483682889305,4.88038486696444
KOR,Республика Корея,Азия,2010,6.98166138853071,3.324,2.93928652655686,2.71883334374472
KOR,Республика Корея,Азия,2011,3.6880320602952,2.992,4.0259650043609,4.42580144247274
KOR,Республика Корея,Азия,2012,2.54766550568242,2.812,2.18707104433314,4.05140294190715
KOR,Республика Корея,Азия,2013,3.2913959543442,3.067,1.30134754547413,3.52829393471496
KOR,Республика Корея,Азия,2014,3.21468019683108,3.082,1.27477446401322,3.17863075274962
KOR,Республика Корея,Азия,2015,2.92029267301234,3.546,0.70633177245575,0.295335527644416
KOR,Республика Корея,Азия,2016,3.17152748983935,3.65,0.971685739912168,1.27867160404439
KOR,Республика Корея,Азия,2017,3.433191763972,3.653,1.94433230786366,1.42899755923416
KOR,Республика Корея,Азия,2018,3.17611568177327,3.824,1.47583935002645,3.07847583379285
KOR,Республика Корея,Азия,2019,2.31380210595475,3.746,0.383000303608136,4.09560933285802
KOR,Республика Корея,Азия,2020,-0.700242317542106,3.931,0.537288023411737,1.19550220518032
KOR,Республика Корея,Азия,2021,4.61296795454287,3.639,2.49833333333339,-0.287216232726007
KOR,Республика Корея,Азия,2022,2.72756456708991,2.857,5.08951365062842,2.44052857732634
KOR,Республика Корея,Азия,2023,1.58301467403629,2.675,3.5974562502901,3.08772627466291
IND,Индия,Азия,2010,8.49758470221235,7.631,11.9893899204244,-1.98385922139866
IND,Индия,Азия,2011,5.24131619937695,7.609,8.91179336483371,1.31798086194015
IND,Индия,Азия,2012,5.45638755166587,7.645,9.47899691419801,2.47352048880901
IND,Индия,Азия,2013,6.38610640094825,7.678,10.0178784746102,3.86599286270871
IND,Индия,Азия,2014,7.41022760508854,7.656,6.66565671867899,6.69517609043592
IND,Индия,Азия,2015,7.99625378571471,7.629,4.90697344127256,7.55648841353986
IND,Индия,Азия,2016,8.25630550179086,7.611,4.94821634062141,6.2327114148242
IND,Индия,Азия,2017,6.79538341897911,7.626,3.32817337461298,5.32760886237311
IND,Индия,Азия,2018,6.45385134497769,7.652,3.9388264669163,5.36166638954869
IND,Индия,Азия,2019,3.87143694070356,6.51,3.72950573539129,6.89487542729716
IND,Индия,Азия,2020,-5.77772470686801,7.859,6.62343677628535,4.13599957786408
IND,Индия,Азия,2021,9.68959249192875,6.38,5.13140747176369,0.316945144211866
IND,Индия,Азия,2022,7.60936497768895,4.822,6.69903414079852,2.52131544946588
IND,Индия,Азия,2023,9.19075493028345,4.172,5.64914318907925,2.52131544946588
IDN,Индонезия,Азия,2010,6.22385418062366,5.614,5.13420639015885,-1.74609753559601
IDN,Индонезия,Азия,2011,6.16978420771008,5.153,5.35604849112582,4.59437674883757
IDN,Индонезия,Азия,2012,6.03005065305615,4.468,4.2795142691943,7.75018856489028
IDN,Индонезия,Азия,2013,5.5572636889101,4.336,6.41249457900391,6.37493124212137
IDN,Индонезия,Азия,2014,5.006668425755,4.049,6.39492882396559,6.79211858069728
IDN,Индонезия,Азия,2015,4.87632230022123,4.514,6.36312061196646,8.34991063469474
IDN,Индонезия,Азия,2016,5.03306918280177,4.301,3.52580452815451,9.2244323441321
IDN,Индонезия,Азия,2017,5.06978590134916,3.783,3.80879857691949,6.50156399609039
IDN,Индонезия,Азия,2018,5.17429153955024,4.387,3.19834755924996,6.47124983937938
IDN,Индонезия,Азия,2019,5.01928768046282,3.59,3.03058460941661,8.62940479031397
IDN,Индонезия,Азия,2020,-2.06551182934165,4.255,1.91983527270793,9.98592671987596
IDN,Индонезия,Азия,2021,3.70288562827751,3.827,1.56007882983334,2.7532239499583
IDN,Индонезия,Азия,2022,5.30719722664799,3.462,4.20946463714784,-0.957376340510307
IDN,Индонезия,Азия,2023,5.04902331835997,3.308,3.66938654859761,7.28506359409343
THA,Таиланд,Азия,2010,7.51339053261624,0.622,3.24758842443723,0.243128638611464
THA,Таиланд,Азия,2011,0.840132083053334,0.66,3.80879058139634,1.2766820317925
THA,Таиланд,Азия,2012,7.24279620249642,0.58,3.01489950334985,3.21675712469183
