Причина,"g, рост ВВП","Δu, прирост безработицы","π, инфляция CPI","Δi, прирост ставки"
"g, рост ВВП",,5.383306867661495e-06,0.17556254877380673,0.31310443013455436
"Δu, прирост безработицы",9.53032434424197e-10,,0.06425733679258905,0.09837776529624236
"π, инфляция CPI",0.6578942909564975,0.5324328994715071,,0.2698070125042137
"Δi, прирост ставки",0.051944306202372795,0.13356661006574946,0.7489714120898993,
