quarter,"g, рост ВВП","Δu, прирост безработицы","π, инфляция CPI","Δi, прирост ставки"
2023Q4,3.3620596105876643,0.16666666666666696,2.8734183715688033,0.0699999999999994
2024Q1,0.8385657658578793,0.033333333333333215,3.6283722850630085,0.0
2024Q2,3.5263554170946065,0.13333333333333286,2.662899232065996,0.0
2024Q3,3.2855812596196188,0.20000000000000062,1.3269534731151111,-0.06666666666666732
2024Q4,1.8352819713321367,-0.0333333333333341,3.128771648067996,-0.6133333333333333
2025Q1,-0.6505944225686733,8.881784197001252e-16,3.631532950494787,-0.3199999999999994
2025Q2,3.766212643182598,0.06666666666666643,1.6376686130652018,0.0
2025Q3,4.282379361041677,0.13333333333333286,3.0425671342218408,-0.03666666666666707
2025Q4,0.4810890211217611,0.11666666666666714,2.850892641242453,-0.3966666666666665
2026Q1,1.6081366811746989,-0.11666666666666714,3.1412994402998606,-0.2566666666666664
