variable,alpha_adjustment,beta_cointegration
ln_gdp,-0.007199698768443983,1.0
unrate,1.33011948278943,0.028904714321189722
ln_cpi,0.00828300228352263,-0.8473903849563212
fedfunds,-2.0184486057762894,0.04091163740109599
