Показатель,ln(реального ВВП),безработица,ln(CPI),ставка Fed funds
ln(реального ВВП),,0.8518004967182473,0.7668597624982294,0.8216809565117037
безработица,0.054583918764399116,,0.05439644737059247,0.03033965310811204
ln(CPI),0.8048535952722717,0.9350498721099169,,0.8870377802852896
ставка Fed funds,0.016615274479335522,0.22417770409586218,0.018860023509540403,
