,Ряд,ACF(1),ACF(4),ACF(8),PACF(1),PACF(4),PACF(8)
0,"g, рост ВВП",-0.13287106358298192,-0.02006482611029908,0.04718843637978735,-0.13287106358298192,-0.01915993564346154,0.04888251187863954
1,"Δu, прирост безработицы",-0.15708010079192225,0.029549535934366187,-0.02709202191928042,-0.15708010079192225,0.02161745271536527,-0.04826354726149083
2,"π, инфляция CPI",0.404034210955303,0.06142921484749596,-0.035343751162315064,0.4040342109553031,-0.060480102638504875,-0.06780771873496517
3,"Δi, прирост ставки",0.6968633796107403,0.15719097811022245,-0.1791778115025484,0.69686337961074,-0.17243057632628656,-0.09452610903412266
