Показатель,N,Среднее,Дисперсия,Ст. откл.,Минимум,Максимум
Реальный ВВП,145.0,16428.078531034484,15955099.328657653,3994.3834729101377,9951.916,24152.656
Безработица,145.0,5.665172413793104,2.9986570881226053,1.731663098908851,3.533333333333333,13.0
CPI,145.0,211.0749287356322,2768.727488315102,52.61869903670274,128.03333333333333,328.1136666666667
Ставка Fed funds,145.0,2.8845057471264366,5.463052705406556,2.337317416485522,0.06,8.25
