,Спецификация,Устойчива,AIC,BIC,HQIC,Portmanteau p,Normality p,Выбрана по AIC
0,"VAR(1), const",да,-0.03536767171032712,0.37901619266168785,0.1330180878716991,0.629,<0.001,да
1,"VAR(2), const",да,0.04659205397462984,0.7959566601270622,0.35110341219300456,0.553,<0.001,
2,"VAR(1), const+trend",да,-0.018666238506675537,0.4785943987397425,0.183396672991756,0.685,<0.001,
