Горизонт,"g, рост ВВП","Δu, прирост безработицы","π, инфляция CPI","Δi, прирост ставки"
4,0.6077956532376059,0.37573485587968164,0.004888040555661616,0.011581450327050997
8,0.6069862768029743,0.3751744142494674,0.004894274963761908,0.012945033983796629
12,0.6069199709674136,0.37513143514708974,0.004895581180377236,0.013053012705119863
