Параметр,coef,std err HAC,t,p-value
const,-6.823558945524041,3.8177480517100166,-1.7873256310006325,0.074
ECT_L1,1.3301194827893417,0.6808293949348044,1.9536751683829876,0.051
d_ln_gdp_L1,-60.61051134498,35.77085491497857,-1.6944104771619577,0.090
d_unrate_L1,-0.8680277942121143,0.47113352597119046,-1.8424241671674066,0.065
d_ln_cpi_L1,-10.981686574112764,8.382647492272651,-1.310049907769112,0.190
d_fedfunds_L1,-0.24605782955002659,0.10831970139202547,-2.2715888835356544,0.023
