Параметр,coef Δu equation
const,0.3874224150148328
L1.gdp_growth,-0.14334237413938333
L1.d_unrate,-0.8158298446340471
L1.inflation,-0.021798024284812756
L1.d_fedfunds,-0.2528478317539132
